Stock;Brand ;Brand 2;Brand 3;€ Unit;# Box;€ Box;Size;Country;Distributor;;;
;ARTURO FUENTE;Gran reserva 8-5-8 Maduro  ;;14,50;25;362,50;47 X 156;Dom. Rep;Koopmans;;;
;ARTURO FUENTE;Gran reserva 8-5-8  ;;14,50;25;362,50;47 X 156;Dom. Rep;Koopmans;;;
B   ;ARTURO FUENTE;Gran reserva 8-5-8 Sun Grown  ;;19,00;20;380,00;47 X 156;Dom. Rep;Koopmans;;;
;ARTURO FUENTE;Gran reserva Canones  ;;23,00;20;460,00;52 X 216;Dom. Rep;Koopmans;;;
;ARTURO FUENTE;Gran reserva Cuban Corona  ;;13,50;25;337,50;45 X 133;Dom. Rep;Koopmans;;;
;ARTURO FUENTE;Gran reserva Exquisitos Maduro  ;;6,50;50;325,00;33 X 113;Dom. Rep;Koopmans;;;
;ARTURO FUENTE;Gran reserva Exquisitos Natural  ;;6,50;50;325,00;33 X 113;Dom. Rep;Koopmans;;;
;ARTURO FUENTE;Gran reserva Petit Corona  ;;11,50;25;287,50;38 X 127;Dom. Rep;Koopmans;;;
;ARTURO FUENTE;Gran reserva rothschild Maduro  ;;13,50;25;337,50;50 X 114;Dom. Rep;Koopmans;;;
;ARTURO FUENTE;Gran reserva rothschild Natural  ;;13,50;25;337,50;50 X 114;Dom. Rep;Koopmans;;;
;ARTURO FUENTE;Hemingway Best Seller Natural ;;18,00;25;450,00;55 X 115;Dom. Rep;Koopmans;;;
B;ARTURO FUENTE;Hemingway Short Story Natural ;;15,00;25;375,00;49 X 100;Dom. Rep;Koopmans;;;
;ARTURO FUENTE;Hemingway Signature  ;;23,00;25;575,00;46 X 152;Dom. Rep;Koopmans;;;
;ARTURO FUENTE;Rainforest Delight  ;;8,00;50;400,00;32 X 127;Dom. Rep;Koopmans;;;
;ARTURO FUENTE;Rosado Magnum  ;;18,00;44;792,00;44 X 127;Dom. Rep;Koopmans;;;
;ARTURO FUENTE;Rosado Magnum  ;;18,50;25;462,50;52 X 127;Dom. Rep;Koopmans;;;
;ARTURO FUENTE;Rosado Magnum  ;;21,00;25;525,00;54 X 152;Dom. Rep;Koopmans;;;
;ARTURO FUENTE;Rosado Magnum  ;;19,90;25;497,50;56 X 143;Dom. Rep;Koopmans;;;
;ARTURO FUENTE;Rosado Magnum  ;;21,00;25;525,00;58 X 133;Dom. Rep;Koopmans;;;
